ɂah,snowshoe
danı̨ı̨tsà,be high
danı̨ı̨tsà-le,be short in height
dànı̀ı̨wǫ,what does he/she think?; what does he/she want?
dànııt'à,how come?; why?; how is it...?; why is it …?; how is it possible that …?
Dànı̀yeh?,What is your name?
dàòdı̀,nothing
dàot'è?,so what? what's the big deal? none of your business!
dàòt'ı̨,what kind?; what colour?; what brand?
datı̨,needle
datı̨ daetǫǫ,chain stitch
datı̨ ı̨lı̨ą,needle for sewing; ordinary sewing needle
datı̨ nǫǫ̀ht'òo,square needle used for sewing hide
datı̨et'òa,beading needle
datı̨et'òo,square needle used for sewing hide
datı̨htł'à,eye of a needle
Datı̀ıdèa,Giant Mine
datı̨lıı̀,round-pointed needle
datı̨lǫ,point of a needle
datı̨wò,sewing bag; needle case
dat'èh,brant-goose
dàt'ı̨,what is he/she doing?
dàt'ı̨ı̨̀ at'ı̨,what is he doing? what is he doing here?
datłe,soap
datłeh nàedoo,laundry soap; detergent
datłehkw'à,wash basin
datłeyı̨̀ą,handsoap; bar of soap
datło,dance (one person)
dàtłǫ,how much?; how many?
dàtłǫ,how much?; how many?
dàtłǫ ghǫ nı̀ı̨ɂǫ,what time is it?
dàtłǫ nı̀ı̨ɂǫ,what time is it?
dàtłǫ sǫǫ̀mba wheɂǫǫ,balance (of money)
datł'ıetło,tug on a rope (like a dog chained up); dance
dats'aaɂa,holding up (chunky object)
dats'aahchıh,holding up (cloth object); waving (cloth object)
dats'aahte,holding up (animate object)
dats'aahtsıh,holding up (cloth object); waving
dats'aahxe,holding up (heavy object)
dats'aaka,holding up (plateful); offering up (plateful)
dats'aale,holding up (plural or ropelike objects)
dats'aatı̨,holding up (rigid object)
dats'eɂa,hold up (single object)
dats'eɂa,place up (cloth object); hang up (cloth object)
dats'eɂo,untie
dàts'ede,what we will do; what action should we take
dàts'edı,what to say?; say what?
dàts'edıı̀ ats'edı,what we mean to say; what we are saying
dats'eeɂa,hold up; hang up (cloth object)
dats'eechı,touch; take hold of; grab; catch (single object)
dats'eechı,touch
dats'eechı,touch; grab; take; catch
dats'eèchı,put something on high platform; stage; raised area (shelf)
dats'eèchı,place up (chunky object); put up (chunky object)
dats'eedı,put hand up; raise hand
dats'eedı,place up (food); hang up (food)
dats'eege,untie
dats'èèhɂa,cause suffering
dats'eehdı / dats'ehdı̀,put hands on; hold hands up
dats'eehke,ask questions
dats'eehke,ask
dats'eèhkw'e,be (located) up in a raised postion (plural); sit up in a raised position (plural)
dats'eehnè,convince by argument or by reasoning
dats'eèht'è,be stronger than someone or something; overcome
dàts'eèhtła,go ashore (one person); step out (from a boat) (one person)
dats'eekà,place up (plateful)
dats'eèkw'ı,fall; slip
dats'eele,hold up in the hands (plural); hang on line (clothes)
dats'eetà,step in
dats'eetsı,touch; grab; take; catch (single object)
dats'eetsı,touch
dats'eètsı,place up (chunky object); put up (chunky object)
dàts'eewa,bring ashore; unload (boat/truck); bring down
dats'eezà,"tie up, to a pole"
dats'eezà,tie up (boat)
dats'eezhà,"tie up, to a pole"
dats'ege,untie (single object)
dàts'ehɂı̨,doing what?
dàts'ehɂı̨,what to do with it? How do we operate it?
dats'ehch'ı,strip (bark)
dats'ehte,left up; hold up
dats'ehtło,she dances
dats'ehxè,place up (heavy object)
dats'eka,hold up (small container; a cup)
dats'ele,hold up (plural object)
dàts'ele,what we do (to it); what we do with it; how we handle it
dats'etł'ı̨,tie up (dog)
dats'etł'ı̨,set (net); set (snare); tie up
dats'ewa,hang up (many objects); place up (many objects)
dats'ı̨ı̨ɂa,suffer
dats'ı̨ı̨hɂa,make someone suffer
dats'ı̨̀ı̨hɂah,abuse; persecute; make (someone) suffer
dats'ııhke,let's ask him
dàts'ııle,what should be done to it? What should we do?
dàts'ı̨ı̨wǫǫ,our opinion; what we think; what we reckon
dats'ǫǫ̀,always; all the time
dats'ǫts'ǫ̀,always; continuously
dàwet'è,how should it be?
dàwet'è?,so what?
Dawı̀,David
dawı̀ı̀tè,be lifted up
dàwı̀yeh,what is it called?; what is his/her/its name?
dàwı̀yeh,what is his/her name?
dàwhaà,how long ago?; how long in time?
dawheɂǫ,be located up (chunky object); stand up (chunky object)
dawheda,be located up (animate object); sit up (animate object)
dawhehchı̀,be located high (cloth; shirt)
dawhehchı̀h,be located up (cloth object); hang up (cloth object)
dawhehtǫ,be located up (containerful)
dawhehtsı̀h,be located up (cloth object); hang up (cloth object)
dawhela,be located up (plural or ropelike objects); hang up (plural or ropelike objects)
dawhetǫ,be located up (rigid object)
dawhetł'ı̨,tie up
dàwhı̀dı̀,nothing
dàwhı̀dı̀ı̀ ajà,disintegrate; came to the end; had no more
daxageehkee,questions
daxoɂò,flap
dàyèhdı,what does he/she tell him/her?; what does he/she ask him/her?
dats'ehła,have (plural objects) up; hang up (plural objects); place up (plural objects)
dè,if; when; while; whenever; in case
dè,land; country
dè,when; if
dè,earth; land; ground; dirt
dè,land; ground; dirt; earth
dè,if; when
dè dagooɂò,be boggy; be swampy; floating land
dè datıı̀wı̀ı,flood; spring of water
dè ehtǫǫ,land freeze
dè goatł'èe,borders (map)
dè goehsee k'è,garden
dè goehshee k'è,garden
dè gogǫǫ nèk'e,desert
dè goka sǫǫ̀mbak'è,open-pit mine
dè gonàèdı̀ı̀,earth medicine
dè gonı̨htł'èè,map
dè goteèmǫ̀ǫ,flood (old word)
dè gotı̀,swamp; marsh; pond; slough; spring water
dè gotłeè,kerosene
dè gotł'a behchı̨ı̨̀ k'edèe,subway
dè gotł'aa,basement
dè gotł'aa kǫ̀,basement
dè goyı̀ı gòhtǫǫ,permafrost
dè goyı̀ı gǫ̀ǫɂàa,cave; underground tunnel
dè goyı̀ı hàgǫ̀ǫɂàa,pit
dè goyı̀ı kàı̨lı̨ı̨,spring of water
dè goyı̀ı xàı̨lı̨ı̨,spring of water
dè gozhı̀ı sǫǫ̀mbak'è,underground mine
dè hogeehdıı dǫǫ̀,geologist
dè hǫǫ̀yı̨ı̨ k'è k'ekòo,all-terrain vehicle
dè k'e ası̀ı hàgeetaa,exploration
dè k'e nàetaa dǫǫ̀,geologist
dè k'e t'ası̀ı xàetaa,exploration
dè k'eèkw'ǫǫ,glacier
dè k'èhodı̀ı,park; reserved land
dè nagoèhzoh,land is dewy or wet; land is frosty
"dè nagoèhzoh, dè nahzoh",land is frosty; land is dewy
dè nahzoo,dew; frost
Dè Nàowoò Nı̨htł'èkǫ̀,Land Department
dè nàowoò nı̨htł'èkǫ̀,land administration office
dè nezı̨ı̨̀ ats'ı̨hwhǫ,care for the land
dè nı̨htł'èè,map
dè teètł'ıı,flood
dè teèwı̀ı,flood (old word)
dè tsı̨̀gohwhı,pollute the land
dè tsı̨̀gowı,land is being polluted
dè ts'ǫ dehsee,vegetables
dè ts'ǫ dehsee k'è,vegetable garden; farmland; field
dè ts'ǫ dehshee,vegetables
dè ts'ǫ dehshee k'è,vegetable garden; farmland; field
dè wek'e eghàladaa,land development
dè wek'èhodı̀,land is conserved
dè we'tàɂats'et'ı̨ı̨ nı̨htł'èè,land-use permit
dè xàts'ege,dig the ground
dè xàts'ehge,dig the ground
dè xè sıı̀gots'elee,land negotiation
dè xèht'e,camouflage
dè yı̀ı goègèe,ditch
deɂı̨̀ı̨,behind; hidden
deɂǫàtłǫ,be more than (numbers)
deɂǫ̀atłǫ,a large amount
deɂǫ̀ǫ̀,more than; past; too much; over the limit
deɂǫ̀ǫ-ts'ǫ̀,be beyond; more than
dea,stream
deboa,"thin in dimension (metal, slice of bread)"
dechı̨,tree; bush; log; twig; stick; pole; mile; yard (measure)
dechı̨,mile; yard (measure)
dechı̨,mile; yard (measure)
dechı̨ ehdoo,twisted-grain wood
dechı̨ ehdzoò,deadfall trap; wooden trap
dechı̨ et'àa k'è,sawmill
dechı̨ gokwǫ̀ yı̀akoo,sliver
dechı̨ gotsè,dowel; wooden nail
dechı̨ ghàlaedaa dǫǫ̀,carpenter
dechı̨ ghàlaedaa dǫǫ̀,carpenter
dechı̨ k'ıtı̀,sap
dechı̨ lajè,wooden box
dechı̨ lı̀baà,keg
dechı̨ lı̀barı̀,keg
dechı̨ mbeh,saw
dechı̨ nàı̨ɂaa,pole standing up
dechı̨ nǫǫ̀wheɂaa,bridge
dechı̨ ts'eetł'ǫǫ̀,wind charmer
dechı̨ ts'ǫneè,below the treeline
dechı̨ wek'enàı̨ɂaa,cribbage; cribbage peg
dechı̨ wet'à goghòò ta k'ets'ehgoo,toothpick
dechı̨àladaa,carpenter
dechı̨cha,shade of a tree
dechı̨dzèè,spruce gum
dechı̨ehka,ladder; stairs; runners on a sled; bridge; dock; boardwalk
dechı̨ehka behchı̨ı̨̀,"sled, Inuit-type"
dechı̨ehka naàwheɂaa,bridge
dechı̨et'aa,cross
dechı̨et'àa,saw
dechı̨et'àa etłee,chain saw
dechı̨hkwı̨,woodpecker
dechı̨ı̨̀,stick; tree
dechı̨ı̨̀ghòa,plane (tool)
dechı̨kàà,lumber; plank; board; plywood
dechı̨kàà elà,barge; scow
dechı̨ke,boots; footwear
dechı̨ke dezhı̀ı,oxfords
dechı̨ketłı̀a,rubbers; overshoes
dechı̨ketł'ıı̀,shoelaces
dechı̨kǫ̀,log house; cabin
dechı̨laa,treeline
dechı̨laa got'ı̨ı̨̀,treeline people
dechı̨ları,treeline
dechı̨nı̨,bush area; in the bush; in the woods; in the forest
dechı̨nı,bush area; in the bush; in the woods; in the forest
dechı̨nı gots'ǫdzeè,mushroom
dechı̨nı radıo,bush radio
dechı̨nı ts'ǫ̀ ts'eedè,go to the bush (plural)
dechı̨sı̀,wooden whistle; trumpet
dechı̨shı̀,wooden whistle; trumpet
dechı̨shı̀a,harmonica
dechı̨ta,bush area
dechı̨ta gojıe,buffalo
dechı̨ta gonàèdıı̀,bush medicine; herbal medicine
dechı̨tè,floor
dechı̨tè k'e tèwhehchı̀ı,floor covering; rug; linoleum
dechı̨tè k'e tèwhehchı̀ı datłeè,rug shampoo
dechı̨tè k'èts'ewaa,floor tiles
dechı̨tèwò,rug
dechı̨tèwò,floor covering; rug; linoleum
dechı̨tèwò,floor covering; rug; linoleum
dechı̨tı̀,spruce drink; herbal drink
dechı̨tǫ,coffin; trunk
dechı̨xàa,termite
dechı̨xàà,wooden club; stick game
dechı̨xàà,plane knife; stick game; carving knife for making snowshoes
dechı̨xàà t'à sǫnàgedèe,stick game; as in cards
dèdats'eedıh,hold back in speaking; hesitate in speaking
dedı,sound; make a sound
dedı̀ezıı̀,bull moose
dedı̀ezhıı̀,bull moose
dedı̀ı,moose
dedı̀ı edaa k'è,place where moose live
dedı̀ı ts'eehdı,call moose
dedı̀ıdè,moose antlers
dedı̀ıdets'è,cow moose
dedı̀ıdezhıı̀,bull moose
dedı̀ıdzı̀ı̀,mooseberry
dedı̀ıghà,moose hair
dedı̀ıjı̀ı̀,mooseberry
dedı̀ıkwǫ̀,moose meat
dedı̀ıts'ı̀daa,young cow moose
dedı̀ıwò,moose hide
dedı̀ıwò elà,moose hide canoe
dedı̀ızǫǫ̀,old bull moose; largest bull moose
dedı̀ızhǫǫ̀,old bull moose; largest bull moose
dèdlı̨ı̨,"place which has never had a forest fire, good for trapping"
dedlı̨ı̨nı̨,"place which has never had a forest fire, good for trapping"
dedzı,mosquito; flies in general
dedzı hàgòı̨hdoo k'è,mosquito bite
dedzı nàèdı,mosquito spray
dedzıwò,mosquito net
dèè,earth; land; ground; dirt
dee,crane
dèè goehshee dǫǫ̀,farmer; farmers
dèè goehshee k'è,garden
dèè goehshee k'èdı̀ı dǫǫ̀,caretakers of fields or gardens
dèè k'èdı̀ı dǫǫ̀,person or people who look after a field or garden
dèè sıı̀gǫǫhwhǫǫ dǫǫ̀,gardener
deècha,located behind; shaded; sheltered from the wind
dèechı̨ı̨̀,wooden cache insulated with earth
dèèdats'eedıh,be hesitant or unsure in speaking
deedlà,yell at
deèdlı̨ı̨,original; natural type of; worthy
dèèdzà,he exclaimed
dèeghǫ k'àowo natı̀,spirit-level
dèeghǫ nàèdı,root medicine; earth medicine
dèèjà,he exclaimed
dèek'e goèzoo,dew; frost
dèek'e nı̀gı̨ı̨hxa,they wrestled him to the ground
dèek'e t'alàsı̀ı k'ekòo,all-terrain vehicle
dèek'e t'alàsı̀ı k'etłoo,all-terrain vehicle
deekw'e,rising up (smoke)
dèekw'ǫ,make a sound; make a noise
dèèlaa,deadfall trees
deelı̨ı̨̀,fresh
deelı̨ı̨̀,"fresh, raw"
deelı̨ı̨̀,fresh; raw
dèetǫǫ̀,wooden cache insulated with earth or moss
dèètǫǫ,deadfall tree
dèèt'ı̨,be stolen
deètsa,located behind; shaded; sheltered from the wind
dèetsı̨ı̨̀,wooden cache insulated with earth
dèèts'edıh,be hesitant or unsure
dèets'ǫ̀ k'àowo,government
dèets'ǫ̀ k'àowo cheekeè,civil servant; government employee/official
dèets'ǫ̀k'àowo,government; government official
dèets'ǫ̀k'àowo chekeè,civil servant; government employee
dèets'ǫ̀k'àowo gots'ǫɂeehdı̀ı,compensation
dèets'ǫ̀k'àowo kǫ̀ǫ̀,rental house belonging to the government
dèets'ǫ̀k'àowo nàowoò,government policies
dèets'ǫ̀k'àowo sǫǫ̀mbaà,government grant; government funding
dèets'ǫ̀k'àowo tsekeè,civil servant; government employee
dèets'ǫ̀k'àowo ts'àts'eehdı̀ı,taxes
deewı̀,fall (one object)
deewıı̀,type of bird
dèexè dagoı̨̀hzhı̨ı̨̀,mirage
dèexè dagoı̨̀zı̨ı̨̀,mirage
dèexè dagoı̨̀zhı̨ı̨̀,mirage
dèèyeh,be calm; calm water
dèèyeh,calm; calm water
degah,caw (raven's call)
degaı,holy
Degaı Maà,Blessed Virgin Mary
Degaı Maà Dzęę̀,Assumption
Degaı Maà Dzęę̀ Zaà,August
Degaı Maà Tı̨lıı̀,"street in Rae, in the area where a shrine for the Blessed Virgin Mary was located"
Degaı Marı̀,Blessed Virgin Mary
degaı tı̀,holy water
degaıdeè,most holy
degaıtłeè,holy oil
degechı̨ı̨̀,match stick
degèe,matches
Degee got'ı̨ı̨̀,Gwich'in people
Degèe Kǫ̀,Fort McPherson
degetsı̨ı̨̀,match stick
degodeehdı,I'm restless
dègok'eek'ǫ̀ǫ,forest fire
degoo,be white; be clean
dègotı̀,spring of water; muskeg water
dègotı̀a,pool; slough
dègotł'òo,perfume
dègotsoò,swampy ground; wet land
deghàà,enough; completely; thoroughly
deghàà nènı̨hɂǫ,be right time
deghabeh,razor
deghabehk'àà,razor blade
deghagwo,shave
deghaı̨lı̨ı̨,flowing through
deghambeh,razor
deghàts'eedaa,mirror
deghats'egwo,shave
deghats'ekwı,thread a needle
deghats'eetła,go through (one person)
degho,bark
deghǫ,hide with hair left on; caribou fur
deghǫɂeh,caribou hide parka with hair left on; fur coat
deghǫdzıh,mitts of caribou hide with hair left on
deghǫjıh,mitts of caribou hide with hair left on
deghǫtè,hide rug; fur rug
deh,river
deh chaèhdlı̨ı̨,eddy
Deh Daèhzaa,"Snare River Dam, Hydro Lake"
deh daèhzaa,blocked river; dam
Deh Daèhzhaa,"Snare River Dam, Hydro Lake"
deh daèhzhaa,blocked river; dam
deh daèzaa,blocked river; dam
Deh K'è,Frank Channel
deh łats'ı̨ɂàa,river fork
deh nàelı̨ı̨,waterfalls
deh nàtsoo,current
deh tsaèhdlı̨ı̨,eddy
dehbàa,river bank
dehbaa,be grey
dehbàa tǫ,ice on a river bank
Dehbaacha,Fort Smith
Dehbaatsa,Fort Smith
dehcho,big river
Dehcho,Mackenzie River
dèhchǫ,it started raining
Dehchogà,Mackenzie River area
dehdeè,major river
dehdoo,sucker
dehdorı,sucker
dèhdlı̨ı̨,green (referring to wood)
dèhdlı̨ı̨ tsoò,greenwood
dehga,ring-necked duck
dehko,cough; cold; phlegm
dehko dǫ taàwhehtłe,he splattered the cold mucus among the people
dehko enı̨htł'èwò,tissue paper; Kleenex
dehko nàèdı,cough medicine
dehko t'à gokaà,cold sores
dehkowò,tissue paper; toilet paper
dehk'è,along the river
dehk'è,river channel
dehk'è nı̨whelı̨,mouth of the river
dehkw'ıı,dry spruce branch used as kindling
dehmbaa,be grey
Dehnaat'ı̨ı̨̀,Slavey people
dehndeè,major river
dehse,(plants) grow
dehso,be furry; be shaggy; be bushy
dehsǫ̀ǫ,dish towel; napkin
dehshe,(plants) grow
dehsho,be furry; be shaggy
dehshǫ̀ǫ,dish towel; napkin
dehte,"river crossing, over ice"
dehteèlı̨ı̨,rapids
dehtı̀,lake that a river runs through
dèhtǫ,(land) froze up
dehtł'a,river bottom
dehtł'à,bay or end of a river
dèhtł'è,be blue
dèhtł'èe dezǫǫ,navy blue; purple
Dehtso,Mackenzie River
dehtsoa,creek; stream
Dehtsogà,Mackenzie River area
dehwhe,pant
dehwhò,wag (the tail)
dehxǫ,be furry; be wooly; be thick and fuzzy (about cloth)
dehxǫ gòorehxǫǫ,fuzzy caterpillar
dèhyeh,be afraid; panic; be startled
dèhyeh,be scared
dejı,mosquito; flies in general
dejı̨,be scared; be afraid; be frightened
dejı hàgòı̨hdoo k'è,mosquito bite
dejı nàèdı,mosquito spray
dejıwò,mosquito net
dekaàts'eèhde laanı̀,be in a daze; be unfocussed in mind; daydream
dekàı̨ɂàa,place where a river flows into a lake
dekegǫ̀ǫɂà,be sloping
dekegǫ̀ǫɂàh,uphill
dekets'eechı,carry up stairs/ladder (single object)
dekets'ıı̀tła,go up (one person); climb up (one person); walk up (one person)
dekǫ̀ gha ǫnıèɂàh,be homesick
dekoh,cough
dekòò,be wide
dek'aɂı̨̀,less; short of
dek'aɂı̨̀ hodaake,getting to be short; getting to be not enough
dek'aɂı̨̀ hodeètso,was not enough; did not even out
dek'e,on self
dek'èchı̨ı̨̀ɂa ts'ǫǫ̀,distal
dek'eèhtł'è,be written down
dek'enaets'ehtse,bathe; wash oneself; have a bath or shower
dek'enèts'eɂà,make a mark; write down
dek'enèts'eetł'è,write down; draw; do artwork
dek'eweèhtł'è,be written down
dek'ewhehła,he is wearing on his shirt or lapel (medal)
dek'ewhela,written in it; inscribed on it
dek'èxàts'eechı,release
dek'èxàts'eechı,take out with self (single object)
dek'èxàts'eetsı,take out with self (single object)
dek'èxàts'ıı̀chı,release
dek'èxàts'ıı̀tsı,release
dek'o,be red
dèk'ǫ̀,be burning; it is burning
dèk'ǫ̀,be burning
dek'o dekwoo,orange colour
dek'òa,weasel
dek'o-dezǫ,be dark red
dekwa,whip
dekwe,be solid
dekwı,go out (a fire); die out (a fire)
dekwo,be yellow
dekwo-degoo,be light yellow; sulphur yellow
dekw'e,pervade; arise
delà,float away
delı̀,ring (a phone)
Dèlı̨ı̨,"Fort Franklin, Deline"
dèloo,done (of bread)
Denaat'ı̨ı̨̀,Slavey people
denahk'e,most; best; superior
denahk'e danı̨ı̨dè,be taller
denahk'e edza,colder
denahk'e gòkǫ̀,warmer
denahk'e wet'àaɂàa,our priority
dènayaetı,ramble (in speech); talk in great detail
dènı̨,be sharp
dènı̨htł'è ets'aèhyı̨̀ą,globe
dènı̨htł'è gohzı̀ı̀tso,globe
dènı̨htł'è gohzhı̀ı̀cho,globe
dènı̨ı̨dı̨,be very rich (fish oil); very greasy
denı̨ı̨lı̨,current of a river
Dendı̀atı̀,Moose Bay
dendı̀ı,moose
dere,crane
Dètaı̨̀htǫ,Tayonton Lake
detı̨,freeze up
dètı̀,be expensive
dètı̀-le,be cheap
detǫ,be thick in dimension; be deep
detǫ-lea,be thin in dimension; be not thick
det'àeka,get caught
det'ah,land (birds and planes)
det'àı̨ɂaa,pins
det'à,next to the body; next to his body; under his clothing/blanket
det'e,drip
det'ǫ,duck
det'ǫ dezǫǫ,black duck
det'ǫ eèhdà,duck's bill
det'ǫ hòèlı̨ı̨,decoy (duck)
det'ǫcho,eagle
Det'ǫcho Zaà,March
det'oo,"be thick, of liquid"
det'oo-le,"be thin, of liquid"
det'ǫtsı̨,"hawk, golden eye"
det'ǫtso,eagle
Det'ǫtso Zaà,March
det'ǫyè,duck egg
detłòo,be soft; be tender; be mushy; be raw
detłots'aà,fur hat?
